price;seller;fue;gear;miles;year_model;type;wheels;hpower;color;engine;date_traffic;brand;model;region;;
40000;Privat;Bensin;Manuell;20712;1992;Sedan;Tvåhjulsdriven;204;Blå;2922;2023-08-24;Volvo;960;Värmland;;
40000;Privat;Bensin;Manuell;42000;1982;Sedan;Tvåhjulsdriven;112;Vit;2316;1981-12-01;Volvo;244;Värmland;;
20000;Privat;Bensin;Manuell;32496;2006;Kombi;Tvåhjulsdriven;141;Svart;2435;2005-06-30;Volvo;V70;Värmland;;
165000;Företag;Diesel;Manuell;5300;2017;Halvkombi;Tvåhjulsdriven;122;Röd;1969;2016-09-15;Volvo;V40;Värmland;;
119900;Företag;Diesel;Manuell;17900;2013;Kombi;Tvåhjulsdriven;136;Svart;1984;2013-03-15;Volvo;V70;Värmland;;
269500;Företag;Diesel;Automat;15400;2018;Kombi;Fyrhjulsdriven;191;Vit;1969;2017-06-30;Volvo;V90 Cross Country;Värmland;;
85000;Företag;Bensin;Automat;17100;2007;Sedan;Tvåhjulsdriven;200;Vit;2521;2007-05-18;Volvo;S80;Värmland;;
65000;Företag;Diesel;Manuell;27700;2012;Kombi;Tvåhjulsdriven;116;Svart;1560;2012-09-14;Volvo;V60;Värmland;;
96800;Företag;Diesel;Manuell;12253;2012;Kombi;Tvåhjulsdriven;115;Röd;1560;2011-09-07;Volvo;V50;Värmland;;
25900;Privat;Miljöbränsle/Hybrid;Manuell;32800;2009;Kombi;Tvåhjulsdriven;146;Svart;1999;2008-09-01;Volvo;V70;Värmland;;
185000;Företag;Diesel;Automat;22665;2017;Kombi;Tvåhjulsdriven;191;Grå;1969;2016-10-07;Volvo;V90;Värmland;;
53000;Privat;Miljöbränsle/Hybrid;Manuell;18469;2009;Kombi;Tvåhjulsdriven;146;Röd;1999;2008-10-03;Volvo;V70;Värmland;;
159900;Företag;Diesel;Automat;20800;2016;SUV;Tvåhjulsdriven;191;Blå;1969;2015-09-30;Volvo;XC60;Värmland;;
394000;Företag;El;Automat;1882;2023;SUV;Tvåhjulsdriven;234;Svart;NA;2022-11-11;Volvo;XC40;Värmland;;
559900;Företag;El;Automat;0;2025;SUV;Tvåhjulsdriven;256;Vit;NA;NA;Volvo;EX40;Värmland;;
359000;Företag;Miljöbränsle/Hybrid;Automat;7630;2020;Kombi;Fyrhjulsdriven;344;Röd;1969;2020-03-31;Volvo;V60;Värmland;;
589000;Företag;Miljöbränsle/Hybrid;Automat;10909;2023;SUV;Fyrhjulsdriven;463;Grå;1969;2022-11-01;Volvo;XC60;Värmland;;
429000;Företag;Miljöbränsle/Hybrid;Automat;14418;2023;SUV;Fyrhjulsdriven;355;Svart;1969;2022-11-01;Volvo;XC60;Värmland;;
365000;Privat;Diesel;Automat;10335;2020;Kombi;Fyrhjulsdriven;191;Blå;1969;2019-12-02;Volvo;V90 Cross Country;Värmland;;
159900;Företag;Diesel;Automat;18200;2015;Kombi;Fyrhjulsdriven;181;Svart;2400;2014-09-03;Volvo;V60;Värmland;;
369900;Företag;El;Automat;3000;2022;SUV;Tvåhjulsdriven;234;Mörkblå;NA;2022-03-30;Volvo;XC40;Värmland;;
599000;Företag;Miljöbränsle/Hybrid;Automat;11582;2022;SUV;Fyrhjulsdriven;463;Mörkblå;1969;2022-03-25;Volvo;XC90;Värmland;;
35000;Privat;Bensin;Manuell;37692;2004;Sedan;Fyrhjulsdriven;210;Blå;2521;2003-11-14;Volvo;S60;Värmland;;
29500;Privat;Bensin;Manuell;34629;2008;Kombi;Tvåhjulsdriven;170;Grå;2435;2007-07-03;Volvo;V70;Värmland;;
345000;Företag;Bensin;Automat;9805;2019;SUV;Fyrhjulsdriven;251;Grå;1969;2019-03-25;Volvo;XC40;Värmland;;
34500;Privat;Diesel;Manuell;28397;2012;Kombi;Tvåhjulsdriven;116;Svart;1560;2011-09-12;Volvo;V50;Värmland;;
20000;Privat;Bensin;Manuell;30688;1988;Sedan;Tvåhjulsdriven;116;Vit;2316;1988-09-02;Volvo;740;Värmland;;
104900;Företag;Diesel;Automat;23000;2014;Kombi;Tvåhjulsdriven;116;Vit;1560;2013-09-12;Volvo;V60;Värmland;;
33000;Privat;Bensin;Manuell;38666;1998;Kombi;Tvåhjulsdriven;135;Grå;2316;1998-02-24;Volvo;940;Värmland;;
84900;Företag;Bensin;Automat;17477;2008;Sedan;Tvåhjulsdriven;230;Ljusgrön;NA;2007-09-03;Volvo;S40;Värmland;;
84900;Företag;Diesel;Automat;29800;2010;SUV;Fyrhjulsdriven;164;Brun;2400;2010-03-19;Volvo;XC60;Värmland;;
258900;Företag;Diesel;Automat;15732;2016;Kombi;Fyrhjulsdriven;181;Brun;2400;2015-11-03;Volvo;XC70;Värmland;;
129500;Privat;Bensin;Automat;29796;2018;Kombi;Tvåhjulsdriven;153;Grå;1498;2018-05-09;Volvo;V60;Värmland;;
144800;Företag;Diesel;Manuell;14139;2014;Kombi;Tvåhjulsdriven;164;Silver;1984;2013-11-11;Volvo;V60;Värmland;;
469800;Företag;Bensin;Automat;11650;2020;SUV;Fyrhjulsdriven;251;Grå;1969;2021-02-23;Volvo;XC90;Värmland;;
25000;Privat;Bensin;Manuell;20158;1990;Sedan;Tvåhjulsdriven;116;Röd;2316;1990-08-15;Volvo;740;Värmland;;
129900;Företag;Diesel;Manuell;20600;2016;Kombi;Tvåhjulsdriven;150;Svart;1969;2015-07-23;Volvo;V70;Värmland;;
359900;Företag;Diesel;Automat;16102;2022;SUV;Fyrhjulsdriven;238;Svart;1969;2021-06-30;Volvo;XC60;Värmland;;
54900;Företag;Diesel;Manuell;29036;2012;Sedan;Tvåhjulsdriven;116;Ljusgrå;1560;2011-11-10;Volvo;S60;Värmland;;
187000;Privat;Diesel;Automat;41800;2021;Kombi;Tvåhjulsdriven;198;Svart;1969;2021-01-04;Volvo;V90;Värmland;;
174900;Företag;Diesel;Automat;16500;2017;Kombi;Tvåhjulsdriven;191;Vit;1969;2016-12-20;Volvo;V60;Värmland;;
99900;Företag;Diesel;Automat;28900;2011;Kombi;Fyrhjulsdriven;164;Grå;2400;2015-05-06;Volvo;XC70;Värmland;;
129900;Företag;Diesel;Automat;19800;2015;Kombi;Tvåhjulsdriven;116;Vit;1560;2014-10-30;Volvo;V70;Värmland;;
99900;Företag;Diesel;Automat;31450;2014;Kombi;Fyrhjulsdriven;181;Vit;2400;2014-05-22;Volvo;V60;Värmland;;
64900;Företag;Miljöbränsle/Hybrid;Manuell;21927;2011;Kombi;Tvåhjulsdriven;232;Vit;2521;2010-11-30;Volvo;V70;Värmland;;
27000;Privat;Bensin;Manuell;25815;2000;Sedan;Tvåhjulsdriven;141;Grå;2435;1999-11-24;Volvo;S70;Värmland;;
105000;Privat;Diesel;Manuell;21400;2015;Kombi;Tvåhjulsdriven;181;Vit;1969;2014-08-29;Volvo;V60;Värmland;;
25000;Privat;Bensin;Manuell;25520;1991;Kombi;Tvåhjulsdriven;116;Röd;2316;1990-10-04;Volvo;740;Värmland;;
67000;Privat;Diesel;Manuell;32412;2011;Kombi;Tvåhjulsdriven;164;Grå;1984;2010-07-13;Volvo;V70;Värmland;;
65000;Privat;Diesel;Automat;27876;2011;Kombi;Tvåhjulsdriven;164;Blå;1984;2010-11-29;Volvo;V70;Värmland;;
19500;Privat;Bensin;Automat;37806;2004;Kombi;Fyrhjulsdriven;210;Svart;2521;2004-02-04;Volvo;V70;Värmland;;
49900;Företag;Diesel;Automat;25766;2009;Kombi;Tvåhjulsdriven;136;Blå;1997;2009-04-27;Volvo;V50;Värmland;;
309000;Företag;Diesel;Automat;17900;2018;SUV;Fyrhjulsdriven;236;Vit;1969;2017-12-22;Volvo;XC60;Värmland;;
20000;Privat;Bensin;Manuell;30061;1999;Kombi;Tvåhjulsdriven;165;Grå;2435;1999-01-08;Volvo;V70;Värmland;;
348800;Företag;Miljöbränsle/Hybrid;Automat;5674;2020;Kombi;Fyrhjulsdriven;304;Mörkblå;1969;2019-09-06;Volvo;V60;Värmland;;
89900;Företag;Diesel;Automat;22800;2010;Kombi;Tvåhjulsdriven;176;Grå;2400;2010-02-18;Volvo;V70;Värmland;;
90000;Privat;Diesel;Automat;37335;2015;Kombi;Tvåhjulsdriven;181;Svart;1969;2015-03-24;Volvo;V70;Värmland;;
